Time,Lat, Long,  Bearing (Degs), Frequency (Hz), Strength (dB)
12/01/2010 12:00:00, 60.8, 0.3, 200.213, N/A, 100.356
12/01/2010 12:01:00, 60.796607, 0.297469, 200.407, N/A, 100.552
12/01/2010 12:02:00, 60.793213, 0.294937, 200.608, N/A, 100.749
12/01/2010 12:03:00, 60.78982, 0.292406, 200.815, N/A, 100.948
12/01/2010 12:04:00, 60.786427, 0.289876, 201.029, N/A, 101.149
12/01/2010 12:05:00, 60.783033, 0.287345, 201.251, N/A, 101.352
12/01/2010 12:06:00, 60.77964, 0.284815, 201.48, N/A, 101.558
12/01/2010 12:07:00, 60.776247, 0.282285, 201.717, N/A, 101.766
12/01/2010 12:08:00, 60.772853, 0.279756, 201.962, N/A, 101.977
12/01/2010 12:09:00, 60.76946, 0.277226, 202.217, N/A, 102.189
12/01/2010 12:10:00, 60.766067, 0.274697, 202.48, N/A, 102.405
12/01/2010 12:11:00, 60.762673, 0.272168, 202.754, N/A, 102.623
12/01/2010 12:12:00, 60.75928, 0.26964, 203.037, N/A, 102.844
12/01/2010 12:13:00, 60.755887, 0.267112, 203.332, N/A, 103.067
12/01/2010 12:14:00, 60.752493, 0.264584, 203.638, N/A, 103.294
12/01/2010 12:15:00, 60.7491, 0.262056, 203.957, N/A, 103.523
12/01/2010 12:16:00, 60.745707, 0.259529, 204.288, N/A, 103.756
12/01/2010 12:17:00, 60.742313, 0.257001, 204.633, N/A, 103.991
12/01/2010 12:18:00, 60.73892, 0.254474, 204.993, N/A, 104.23
12/01/2010 12:19:00, 60.735527, 0.251948, 205.368, N/A, 104.473
12/01/2010 12:20:00, 60.732133, 0.249421, 205.76, N/A, 104.719
12/01/2010 12:21:00, 60.72874, 0.246895, 206.169, N/A, 104.968
12/01/2010 12:22:00, 60.725347, 0.244369, 206.597, N/A, 105.221
12/01/2010 12:23:00, 60.721953, 0.241844, 207.045, N/A, 105.478
12/01/2010 12:24:00, 60.71856, 0.239318, 207.515, N/A, 105.739
12/01/2010 12:25:00, 60.715167, 0.236793, 208.007, N/A, 106.004
12/01/2010 12:26:00, 60.711773, 0.234269, 208.524, N/A, 106.274
12/01/2010 12:27:00, 60.70838, 0.231744, 209.067, N/A, 106.547
12/01/2010 12:28:00, 60.704987, 0.22922, 209.638, N/A, 106.826
12/01/2010 12:29:00, 60.701593, 0.226696, 210.24, N/A, 107.108
12/01/2010 12:30:00, 60.6982, 0.224172, 210.874, N/A, 107.396
12/01/2010 12:31:00, 60.694807, 0.221649, 211.544, N/A, 107.689
12/01/2010 12:32:00, 60.691413, 0.219126, 212.251, N/A, 107.987
12/01/2010 12:33:00, 60.68802, 0.216603, 213, N/A, 108.29
12/01/2010 12:34:00, 60.684627, 0.21408, 213.793, N/A, 108.598
12/01/2010 12:35:00, 60.681233, 0.211558, 214.635, N/A, 108.912
12/01/2010 12:36:00, 60.67784, 0.209035, 215.529, N/A, 109.231
12/01/2010 12:37:00, 60.674447, 0.206514, 216.481, N/A, 109.556
12/01/2010 12:38:00, 60.671053, 0.203992, 217.494, N/A, 109.886
12/01/2010 12:39:00, 60.66766, 0.201471, 218.575, N/A, 110.222
12/01/2010 12:40:00, 60.664267, 0.19895, 219.731, N/A, 110.564
12/01/2010 12:41:00, 60.660873, 0.196429, 220.967, N/A, 110.911
12/01/2010 12:42:00, 60.65748, 0.193908, 222.291, N/A, 111.264
12/01/2010 12:43:00, 60.654087, 0.191388, 223.711, N/A, 111.621
12/01/2010 12:44:00, 60.650693, 0.188868, 225.237, N/A, 111.983
12/01/2010 12:45:00, 60.6473, 0.186348, 226.878, N/A, 112.349
12/01/2010 12:46:00, 60.643907, 0.183829, 228.645, N/A, 112.717
12/01/2010 12:47:00, 60.640513, 0.18131, 230.549, N/A, 113.088
12/01/2010 12:48:00, 60.63712, 0.178791, 232.601, N/A, 113.459
12/01/2010 12:49:00, 60.633727, 0.176272, 234.814, N/A, 113.828
12/01/2010 12:50:00, 60.630333, 0.173754, 237.2, N/A, 114.195
12/01/2010 12:51:00, 60.62694, 0.171236, 239.771, N/A, 114.555
12/01/2010 12:52:00, 60.623547, 0.168718, 242.538, N/A, 114.906
12/01/2010 12:53:00, 60.620153, 0.1662, 245.509, N/A, 115.243
12/01/2010 12:54:00, 60.61676, 0.163683, 248.69, N/A, 115.563
12/01/2010 12:55:00, 60.613366, 0.161166, 252.083, N/A, 115.86
12/01/2010 12:56:00, 60.609973, 0.158649, 255.683, N/A, 116.13
12/01/2010 12:57:00, 60.60658, 0.156132, 259.478, N/A, 116.365
12/01/2010 12:58:00, 60.603186, 0.153616, 263.449, N/A, 116.561
12/01/2010 12:59:00, 60.599793, 0.1511, 267.569, N/A, 116.713
12/01/2010 13:00:00, 60.5964, 0.148584, 271.8, N/A, 116.815
12/01/2010 13:01:00, 60.593006, 0.146069, 276.101, N/A, 116.866
12/01/2010 13:02:00, 60.589613, 0.143554, 280.423, N/A, 116.863
12/01/2010 13:03:00, 60.58622, 0.141039, 284.717, N/A, 116.806
12/01/2010 13:04:00, 60.582826, 0.138524, 288.937, N/A, 116.697
12/01/2010 13:05:00, 60.579433, 0.13601, 293.041, N/A, 116.54
12/01/2010 13:06:00, 60.57604, 0.133495, 296.993, N/A, 116.339
12/01/2010 13:07:00, 60.572646, 0.130982, 300.765, N/A, 116.099
12/01/2010 13:08:00, 60.569253, 0.128468, 304.341, N/A, 115.826
12/01/2010 13:09:00, 60.56586, 0.125954, 307.708, N/A, 115.526
12/01/2010 13:10:00, 60.562466, 0.123441, 310.864, N/A, 115.204
12/01/2010 13:11:00, 60.559073, 0.120929, 313.811, N/A, 114.865
12/01/2010 13:12:00, 60.55568, 0.118416, 316.553, N/A, 114.513
12/01/2010 13:13:00, 60.552282, 0.115929, 319.099, N/A, 114.151
12/01/2010 13:14:00, 60.548734, 0.114685, 321.283, N/A, 113.744
12/01/2010 13:15:00, 60.545151, 0.115393, 322.965, N/A, 113.293
12/01/2010 13:16:00, 60.541786, 0.118001, 324.129, N/A, 112.825
12/01/2010 13:17:00, 60.53871, 0.121846, 324.924, N/A, 112.365
12/01/2010 13:18:00, 60.535647, 0.125733, 325.64, N/A, 111.921
12/01/2010 13:19:00, 60.532583, 0.129619, 326.297, N/A, 111.492
12/01/2010 13:20:00, 60.52952, 0.133505, 326.901, N/A, 111.077
12/01/2010 13:21:00, 60.526456, 0.137391, 327.459, N/A, 110.675
12/01/2010 13:22:00, 60.523393, 0.141276, 327.975, N/A, 110.286
12/01/2010 13:23:00, 60.520329, 0.145161, 328.453, N/A, 109.908
12/01/2010 13:24:00, 60.517266, 0.149046, 328.898, N/A, 109.54
12/01/2010 13:25:00, 60.514202, 0.15293, 329.314, N/A, 109.183
12/01/2010 13:26:00, 60.511138, 0.156814, 329.702, N/A, 108.835
12/01/2010 13:27:00, 60.508075, 0.160697, 330.065, N/A, 108.495
12/01/2010 13:28:00, 60.505011, 0.16458, 330.406, N/A, 108.165
12/01/2010 13:29:00, 60.501948, 0.168463, 330.727, N/A, 107.842
12/01/2010 13:30:00, 60.498884, 0.172345, 331.029, N/A, 107.526
12/01/2010 13:31:00, 60.495821, 0.176227, 331.314, N/A, 107.218
12/01/2010 13:32:00, 60.492757, 0.180109, 331.584, N/A, 106.916
12/01/2010 13:33:00, 60.489694, 0.18399, 331.839, N/A, 106.621
12/01/2010 13:34:00, 60.48663, 0.187871, 332.08, N/A, 106.332
12/01/2010 13:35:00, 60.483566, 0.191752, 332.31, N/A, 106.049
12/01/2010 13:36:00, 60.480503, 0.195632, 332.528, N/A, 105.771
12/01/2010 13:37:00, 60.477439, 0.199512, 332.735, N/A, 105.498
12/01/2010 13:38:00, 60.474376, 0.203391, 332.933, N/A, 105.23
12/01/2010 13:39:00, 60.471312, 0.20727, 333.122, N/A, 104.967
12/01/2010 13:40:00, 60.468249, 0.211149, 333.302, N/A, 104.709
12/01/2010 13:41:00, 60.465185, 0.215027, 333.474, N/A, 104.455
12/01/2010 13:42:00, 60.462122, 0.218905, 333.639, N/A, 104.205
12/01/2010 13:43:00, 60.459058, 0.222783, 333.797, N/A, 103.959
12/01/2010 13:44:00, 60.455994, 0.22666, 333.948, N/A, 103.717
12/01/2010 13:45:00, 60.452931, 0.230537, 334.093, N/A, 103.478
12/01/2010 13:46:00, 60.449867, 0.234413, 334.232, N/A, 103.243
12/01/2010 13:47:00, 60.446804, 0.238289, 334.366, N/A, 103.012
12/01/2010 13:48:00, 60.44374, 0.242165, 334.495, N/A, 102.784
12/01/2010 13:49:00, 60.440677, 0.24604, 334.619, N/A, 102.559
12/01/2010 13:50:00, 60.437613, 0.249916, 334.738, N/A, 102.337
12/01/2010 13:51:00, 60.434549, 0.25379, 334.853, N/A, 102.118
12/01/2010 13:52:00, 60.431486, 0.257664, 334.964, N/A, 101.901
12/01/2010 13:53:00, 60.428422, 0.261538, 335.071, N/A, 101.688
12/01/2010 13:54:00, 60.425359, 0.265412, 335.174, N/A, 101.477
12/01/2010 13:55:00, 60.422295, 0.269285, 335.274, N/A, 101.269
12/01/2010 13:56:00, 60.419232, 0.273158, 335.371, N/A, 101.063
12/01/2010 13:57:00, 60.416168, 0.27703, 335.464, N/A, 100.859
12/01/2010 13:58:00, 60.413105, 0.280903, 335.555, N/A, 100.658
12/01/2010 13:59:00, 60.410041, 0.284774, 335.642, N/A, 100.459
12/01/2010 14:00:00, 60.406977, 0.288646, 335.727, N/A, 100.263
