Time,Lat, Long,  Bearing (Degs), Frequency (Hz), Strength (dB)
12/01/2010 12:00:00, 60.8, 0.3, 200.213, N/A, 100.356
12/01/2010 12:01:00, 60.796607, 0.297469, 200.407, N/A, 100.552
12/01/2010 12:02:00, 60.793213, 0.294937, 200.608, N/A, 100.749
12/01/2010 12:03:00, 60.78982, 0.292406, 200.815, N/A, 100.948
12/01/2010 12:04:00, 60.786427, 0.289876, 201.029, N/A, 101.149
12/01/2010 12:05:00, 60.783033, 0.287345, 201.251, N/A, 101.352
12/01/2010 12:06:00, 60.77964, 0.284815, 201.48, N/A, 101.558
12/01/2010 12:07:00, 60.776247, 0.282285, 201.717, N/A, 101.766
12/01/2010 12:08:00, 60.772853, 0.279756, 201.962, N/A, 101.977
12/01/2010 12:09:00, 60.76946, 0.277226, 202.217, N/A, 102.189
12/01/2010 12:10:00, 60.766067, 0.274697, 202.48, N/A, 102.405
12/01/2010 12:11:00, 60.762673, 0.272168, 202.754, N/A, 102.623
12/01/2010 12:12:00, 60.75928, 0.26964, 203.037, N/A, 102.844
12/01/2010 12:13:00, 60.755887, 0.267112, 203.332, N/A, 103.067
12/01/2010 12:14:00, 60.752493, 0.264584, 203.638, N/A, 103.294
12/01/2010 12:15:00, 60.7491, 0.262056, 203.957, N/A, 103.523
12/01/2010 12:16:00, 60.745707, 0.259528, 204.288, N/A, 103.756
12/01/2010 12:17:00, 60.742313, 0.257001, 204.633, N/A, 103.991
12/01/2010 12:18:00, 60.73892, 0.254474, 204.993, N/A, 104.23
12/01/2010 12:19:00, 60.735527, 0.251948, 205.368, N/A, 104.473
12/01/2010 12:20:00, 60.732133, 0.249421, 205.76, N/A, 104.719
12/01/2010 12:21:00, 60.72874, 0.246895, 206.169, N/A, 104.968
12/01/2010 12:22:00, 60.725347, 0.244369, 206.597, N/A, 105.221
12/01/2010 12:23:00, 60.721953, 0.241844, 207.045, N/A, 105.478
12/01/2010 12:24:00, 60.71856, 0.239318, 207.515, N/A, 105.739
12/01/2010 12:25:00, 60.715167, 0.236793, 208.007, N/A, 106.004
12/01/2010 12:26:00, 60.711773, 0.234269, 208.524, N/A, 106.274
12/01/2010 12:27:00, 60.70838, 0.231744, 209.067, N/A, 106.547
12/01/2010 12:28:00, 60.704987, 0.22922, 209.638, N/A, 106.826
12/01/2010 12:29:00, 60.701593, 0.226696, 210.24, N/A, 107.108
12/01/2010 12:30:00, 60.6982, 0.224172, 210.874, N/A, 107.396
12/01/2010 12:31:00, 60.694807, 0.221649, 211.544, N/A, 107.689
12/01/2010 12:32:00, 60.691413, 0.219125, 212.251, N/A, 107.987
12/01/2010 12:33:00, 60.68802, 0.216602, 213, N/A, 108.29
12/01/2010 12:34:00, 60.684627, 0.21408, 213.793, N/A, 108.598
12/01/2010 12:35:00, 60.681233, 0.211557, 214.635, N/A, 108.912
12/01/2010 12:36:00, 60.677837, 0.209051, 215.532, N/A, 109.231
12/01/2010 12:37:00, 60.674335, 0.207285, 216.593, N/A, 109.548
12/01/2010 12:38:00, 60.67074, 0.206685, 217.882, N/A, 109.855
12/01/2010 12:39:00, 60.667144, 0.207266, 219.395, N/A, 110.142
12/01/2010 12:40:00, 60.66364, 0.209012, 221.117, N/A, 110.402
12/01/2010 12:41:00, 60.660317, 0.211879, 223.022, N/A, 110.628
12/01/2010 12:42:00, 60.657262, 0.215792, 225.072, N/A, 110.812
12/01/2010 12:43:00, 60.65453, 0.220604, 227.217, N/A, 110.952
12/01/2010 12:44:00, 60.651882, 0.225614, 229.419, N/A, 111.071
12/01/2010 12:45:00, 60.649234, 0.230624, 231.67, N/A, 111.176
12/01/2010 12:46:00, 60.646586, 0.235634, 233.965, N/A, 111.265
12/01/2010 12:47:00, 60.643939, 0.240643, 236.297, N/A, 111.339
12/01/2010 12:48:00, 60.641291, 0.245651, 238.659, N/A, 111.396
12/01/2010 12:49:00, 60.638643, 0.250659, 241.044, N/A, 111.436
12/01/2010 12:50:00, 60.635995, 0.255667, 243.443, N/A, 111.458
12/01/2010 12:51:00, 60.633348, 0.260674, 245.85, N/A, 111.463
12/01/2010 12:52:00, 60.6307, 0.265681, 248.254, N/A, 111.45
12/01/2010 12:53:00, 60.628052, 0.270688, 250.647, N/A, 111.419
12/01/2010 12:54:00, 60.625404, 0.275694, 253.023, N/A, 111.371
12/01/2010 12:55:00, 60.622756, 0.280699, 255.371, N/A, 111.307
12/01/2010 12:56:00, 60.620109, 0.285705, 257.686, N/A, 111.225
12/01/2010 12:57:00, 60.617461, 0.29071, 259.961, N/A, 111.129
12/01/2010 12:58:00, 60.614813, 0.295714, 262.189, N/A, 111.018
12/01/2010 12:59:00, 60.612165, 0.300718, 264.366, N/A, 110.892
12/01/2010 13:00:00, 60.609517, 0.305722, 266.487, N/A, 110.754
12/01/2010 13:01:00, 60.60687, 0.310725, 268.549, N/A, 110.605
12/01/2010 13:02:00, 60.604222, 0.315728, 270.549, N/A, 110.444
12/01/2010 13:03:00, 60.601574, 0.32073, 272.486, N/A, 110.274
12/01/2010 13:04:00, 60.598926, 0.325732, 274.358, N/A, 110.095
12/01/2010 13:05:00, 60.596278, 0.330734, 276.164, N/A, 109.908
12/01/2010 13:06:00, 60.593631, 0.335735, 277.904, N/A, 109.714
12/01/2010 13:07:00, 60.590983, 0.340735, 279.58, N/A, 109.514
12/01/2010 13:08:00, 60.588335, 0.345736, 281.191, N/A, 109.309
12/01/2010 13:09:00, 60.585687, 0.350736, 282.74, N/A, 109.1
12/01/2010 13:10:00, 60.58304, 0.355735, 284.227, N/A, 108.886
12/01/2010 13:11:00, 60.580392, 0.360734, 285.654, N/A, 108.67
12/01/2010 13:12:00, 60.577744, 0.365733, 287.023, N/A, 108.451
12/01/2010 13:13:00, 60.575096, 0.370731, 288.337, N/A, 108.23
12/01/2010 13:14:00, 60.572448, 0.375729, 289.596, N/A, 108.008
12/01/2010 13:15:00, 60.569801, 0.380727, 290.804, N/A, 107.784
12/01/2010 13:16:00, 60.567153, 0.385724, 291.962, N/A, 107.56
12/01/2010 13:17:00, 60.564505, 0.39072, 293.073, N/A, 107.336
12/01/2010 13:18:00, 60.561857, 0.395717, 294.138, N/A, 107.111
12/01/2010 13:19:00, 60.559209, 0.400712, 295.16, N/A, 106.887
12/01/2010 13:20:00, 60.556562, 0.405708, 296.141, N/A, 106.663
12/01/2010 13:21:00, 60.553914, 0.410703, 297.082, N/A, 106.439
12/01/2010 13:22:00, 60.551266, 0.415697, 297.985, N/A, 106.216
12/01/2010 13:23:00, 60.548618, 0.420692, 298.853, N/A, 105.995
12/01/2010 13:24:00, 60.54597, 0.425685, 299.686, N/A, 105.774
12/01/2010 13:25:00, 60.543323, 0.430679, 300.488, N/A, 105.555
12/01/2010 13:26:00, 60.540675, 0.435672, 301.258, N/A, 105.337
12/01/2010 13:27:00, 60.538027, 0.440664, 301.999, N/A, 105.12
12/01/2010 13:28:00, 60.535379, 0.445657, 302.711, N/A, 104.904
12/01/2010 13:29:00, 60.532732, 0.450648, 303.398, N/A, 104.691
12/01/2010 13:30:00, 60.530084, 0.45564, 304.058, N/A, 104.478
12/01/2010 13:31:00, 60.527436, 0.460631, 304.695, N/A, 104.267
12/01/2010 13:32:00, 60.524788, 0.465621, 305.309, N/A, 104.058
12/01/2010 13:33:00, 60.52214, 0.470611, 305.901, N/A, 103.851
12/01/2010 13:34:00, 60.519493, 0.475601, 306.472, N/A, 103.645
12/01/2010 13:35:00, 60.516845, 0.48059, 307.023, N/A, 103.44
12/01/2010 13:36:00, 60.514197, 0.485579, 307.555, N/A, 103.237
12/01/2010 13:37:00, 60.511549, 0.490568, 308.069, N/A, 103.036
12/01/2010 13:38:00, 60.508901, 0.495556, 308.566, N/A, 102.837
12/01/2010 13:39:00, 60.506254, 0.500543, 309.046, N/A, 102.639
12/01/2010 13:40:00, 60.503606, 0.505531, 309.511, N/A, 102.443
12/01/2010 13:41:00, 60.500958, 0.510517, 309.961, N/A, 102.248
12/01/2010 13:42:00, 60.49831, 0.515504, 310.396, N/A, 102.055
12/01/2010 13:43:00, 60.495662, 0.52049, 310.817, N/A, 101.864
12/01/2010 13:44:00, 60.493015, 0.525476, 311.226, N/A, 101.674
12/01/2010 13:45:00, 60.490367, 0.530461, 311.622, N/A, 101.485
12/01/2010 13:46:00, 60.487719, 0.535446, 312.006, N/A, 101.299
12/01/2010 13:47:00, 60.485071, 0.54043, 312.378, N/A, 101.113
12/01/2010 13:48:00, 60.482424, 0.545414, 312.739, N/A, 100.929
12/01/2010 13:49:00, 60.479776, 0.550398, 313.09, N/A, 100.747
12/01/2010 13:50:00, 60.477128, 0.555381, 313.43, N/A, 100.566
12/01/2010 13:51:00, 60.47448, 0.560364, 313.761, N/A, 100.386
12/01/2010 13:52:00, 60.471832, 0.565346, 314.083, N/A, 100.208
12/01/2010 13:53:00, 60.469185, 0.570328, 314.395, N/A, 100.031
12/01/2010 13:54:00, 60.466537, 0.575309, 314.699, N/A, 99.856
12/01/2010 13:55:00, 60.463889, 0.580291, 314.995, N/A, 99.682
12/01/2010 13:56:00, 60.461241, 0.585271, 315.283, N/A, 99.509
12/01/2010 13:57:00, 60.458593, 0.590252, 315.563, N/A, 99.337
12/01/2010 13:58:00, 60.455946, 0.595232, 315.835, N/A, 99.167
12/01/2010 13:59:00, 60.453298, 0.600211, 316.101, N/A, 98.998
12/01/2010 14:00:00, 60.45065, 0.60519, 316.36, N/A, 98.83
