Time,Lat, Long,  Bearing (Degs), Frequency (Hz), Strength (dB)
12/01/2010 12:00:00, 60.4, -0.2, 90, N/A, 115.967
12/01/2010 12:01:00, 60.396607, -0.2025, 89.958, N/A, 115.819
12/01/2010 12:02:00, 60.393213, -0.205, 89.918, N/A, 115.673
12/01/2010 12:03:00, 60.38982, -0.2075, 89.879, N/A, 115.53
12/01/2010 12:04:00, 60.386427, -0.21, 89.841, N/A, 115.388
12/01/2010 12:05:00, 60.383033, -0.212499, 89.804, N/A, 115.248
12/01/2010 12:06:00, 60.37964, -0.214998, 89.769, N/A, 115.11
12/01/2010 12:07:00, 60.376247, -0.217497, 89.734, N/A, 114.973
12/01/2010 12:08:00, 60.372853, -0.219995, 89.7, N/A, 114.839
12/01/2010 12:09:00, 60.36946, -0.222493, 89.667, N/A, 114.706
12/01/2010 12:10:00, 60.366067, -0.224991, 89.635, N/A, 114.574
12/01/2010 12:11:00, 60.362673, -0.227489, 89.604, N/A, 114.444
12/01/2010 12:12:00, 60.35928, -0.229987, 89.574, N/A, 114.316
12/01/2010 12:13:00, 60.355887, -0.232484, 89.544, N/A, 114.189
12/01/2010 12:14:00, 60.352493, -0.234981, 89.515, N/A, 114.063
12/01/2010 12:15:00, 60.3491, -0.237477, 89.487, N/A, 113.939
12/01/2010 12:16:00, 60.345707, -0.239974, 89.46, N/A, 113.817
12/01/2010 12:17:00, 60.342313, -0.24247, 89.433, N/A, 113.695
12/01/2010 12:18:00, 60.338895, -0.244811, 89.395, N/A, 113.581
12/01/2010 12:19:00, 60.335341, -0.246049, 89.295, N/A, 113.51
12/01/2010 12:20:00, 60.331735, -0.245994, 89.168, N/A, 113.489
12/01/2010 12:21:00, 60.32819, -0.244647, 89.065, N/A, 113.516
12/01/2010 12:22:00, 60.324796, -0.242169, 89.025, N/A, 113.588
12/01/2010 12:23:00, 60.321435, -0.239501, 88.999, N/A, 113.667
12/01/2010 12:24:00, 60.318075, -0.236833, 88.972, N/A, 113.747
12/01/2010 12:25:00, 60.314714, -0.234165, 88.945, N/A, 113.827
12/01/2010 12:26:00, 60.311353, -0.231498, 88.917, N/A, 113.908
12/01/2010 12:27:00, 60.307992, -0.228831, 88.889, N/A, 113.99
12/01/2010 12:28:00, 60.304631, -0.226165, 88.86, N/A, 114.072
12/01/2010 12:29:00, 60.30127, -0.223498, 88.831, N/A, 114.155
12/01/2010 12:30:00, 60.29791, -0.220832, 88.802, N/A, 114.238
12/01/2010 12:31:00, 60.294549, -0.218166, 88.772, N/A, 114.322
12/01/2010 12:32:00, 60.291188, -0.215501, 88.741, N/A, 114.407
12/01/2010 12:33:00, 60.287827, -0.212835, 88.71, N/A, 114.493
12/01/2010 12:34:00, 60.284466, -0.21017, 88.678, N/A, 114.579
